,,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,SJ,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ,WJ
,,RF_66,RF_77,RF_81,RF_92,RJ_21,RJ_22,RJ_23,RJ_24,RJ_25,RJ_26,RJ_27,RJ_28,RJ_29,RJ_30,RJ_7,RJ_9,RJ_10,RJ_12,RJ_13,RJ_14,RJ_15,RJ_18,RJ_19,RJ_20,RM_5,RM_14,RM_20,RM_38,RM_46,RF_4,RF_15,RF_16,RF_32,RF_39,RM_57,RM_60,RM_76,RM_84,RM_89,RF_51
SJ,RJ_29,0.898195107,0.672847439,0.75754717,0.744721895,0.661423414,0.657193244,0.86278481,0.998046027,0.761591926,0.581179862,0.619468303,0.664450704,0,0.743816955,1,0.978746956,0.992150923,0.996893943,1,0.999006951,1,1,1,1,0.83205947,1,0.948189898,1,0.929950359,0.985822785,0.946310233,0.994953243,1,0.999108072,0.676037241,0.895227452,0.720808609,0.841604526,1,0.72769772
SJ,RJ_30,0.886112222,0.783250532,0.904933196,0.895904846,0.823411249,0.698087965,0.877277085,0.97098646,0.911380393,0.746223565,0.763698852,0.686145326,0.743816955,0,0.999017296,0.984955029,0.995823928,0.998445394,1,0.998268023,1,1,1,0.998949359,0.853708853,0.99931638,0.97274575,1,0.958078101,0.996480759,0.969088354,0.997583812,1,1,0.816256399,0.927290962,0.822665347,0.879168945,0.987382114,0.751847985
SJ,RJ_7,0.999268404,1,1,1,1,1,0.998243718,1,1,1,1,1,1,0.999017296,0,0.964774951,0.996241387,0.997202797,0.988980716,0.948905109,0.996309963,0.982631931,0.97001363,0.864825581,0.996891777,0.991982732,0.997038353,0.979948013,0.978317433,0.993913573,0.990902199,0.98548297,0.994725738,0.979786637,1,1,1,1,1,1
SJ,RJ_9,0.992476175,0.945763559,0.986041518,0.990681783,0.959703947,0.983461311,0.987068454,0.961075949,0.943765602,0.974490544,0.97964213,0.937138242,0.978746956,0.984955029,0.964774951,0,0.850584594,0.756752007,0.996181992,0.968888889,0.541098901,0.86144748,0.726765799,0.874052478,0.962245527,0.585714286,0.943187661,0.653254687,0.882110092,0.424889016,0.861919814,0.841872562,0.974177215,0.751238592,0.98727206,0.992780424,0.980428308,0.975440033,0.997415742,0.988911911
SJ,RJ_10,0.99592031,0.965461014,0.987723416,0.974683544,0.969287232,0.978778617,0.924467514,0.912108383,0.972215861,0.977743481,0.966538487,0.834381757,0.992150923,0.995823928,0.996241387,0.850584594,0,0.699809389,0.994208271,0.988657407,0.593968472,0.893817056,0.513979575,0.947085202,0.952903226,0.684818247,0.701947743,0.82924685,0.868832487,0.922232021,0.739327015,0.911730048,0.918220339,0.84,0.985359783,0.977397103,0.970496771,0.968003084,0.906611626,0.979868934
SJ,RJ_12,0.998622708,0.995245391,0.999152286,0.999769665,0.990754227,0.997717095,0.998056505,0.973676581,0.995145107,0.998535046,0.964758144,0.898623231,0.996893943,0.998445394,0.997202797,0.756752007,0.699809389,0,0.995024876,0.991617532,0.413092325,0.934106921,0.694068918,0.966427527,0.994103991,0.734627832,0.389813871,0.870103356,0.941911428,0.715577889,0.799858307,0.961819659,0.985884251,0.913968297,0.998638601,0.997585189,0.99733007,0.975969139,0.992678342,0.998193441
SJ,RJ_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988980716,0.996181992,0.994208271,0.995024876,0,0.721854305,1,1,0.987850738,0.92575406,0.999091666,0.989893521,0.994427195,0.942791762,0.950036738,1,0.995351926,0.921985816,0.92639327,0.983253589,1,1,1,1,1,1
SJ,RJ_14,0.998948978,0.998802395,0.997688752,0.998259356,0.996794872,0.999322723,0.997692197,0.995793269,0.998701018,0.998433011,0.999053777,0.999494354,0.999006951,0.998268023,0.948905109,0.968888889,0.988657407,0.991617532,0.721854305,0,0.98886706,0.878354204,0.967667436,0.762557078,0.993342412,0.979452055,0.991565882,0.936182336,0.91374269,0.980456026,0.975488572,0.885111372,0.96868476,0.919335706,0.998841475,1,0.998521803,0.996832101,1,0.999596367
WA,RJ_15,1,0.995072993,1,0.993827817,0.979289184,1,0.998385143,0.973701229,0.994890718,1,0.991213083,0.853839246,1,1,0.996309963,0.541098901,0.593968472,0.413092325,1,0.98886706,0,0.858349977,0.436371362,0.930807765,0.984661937,0.554009393,0.563775786,0.74302401,0.892593605,0.599436676,0.731519679,0.945318242,0.991603937,0.800971588,1,0.997932254,1,0.986231515,0.98922009,1
WA,RJ_18,1,1,1,1,1,1,0.997757062,1,1,1,1,0.94179506,1,1,0.982631931,0.86144748,0.893817056,0.934106921,1,0.878354204,0.858349977,0,0.759896507,0.47318236,0.992657317,0.845015969,0.928907395,0.601113173,0.570378745,0.951275046,0.730409357,0.768740032,1,0.258842444,1,1,0.998654709,1,0.997013142,1
WA,RJ_19,1,1,1,1,1,1,0.998136501,1,1,1,1,0.829290799,1,1,0.97001363,0.726765799,0.513979575,0.694068918,0.987850738,0.967667436,0.436371362,0.759896507,0,0.850961538,0.991769547,0.522701604,0.712989795,0.606797076,0.815575524,0.827600384,0.545612648,0.918730464,0.970919325,0.672210171,1,1,0.994840462,1,0.997916884,1
WA,RJ_20,0.999434282,1,1,1,1,1,0.997737876,1,1,1,1,0.966244031,1,0.998949359,0.864825581,0.874052478,0.947085202,0.966427527,0.92575406,0.762557078,0.930807765,0.47318236,0.850961538,0,0.994369536,0.916952642,0.963729763,0.759213759,0.705097087,0.985483493,0.866020006,0.781112092,0.983844911,0.606411398,1,1,1,1,0.996958175,1
WA,RM_5,0.823311367,0.786275595,0.827158917,0.889986067,0.905705867,0.850905607,0.930921786,0.981938003,0.916850501,0.845461543,0.827534663,0.817941106,0.83205947,0.853708853,0.996891777,0.962245527,0.952903226,0.994103991,0.999091666,0.993342412,0.984661937,0.992657317,0.991769547,0.994369536,0,0.986994841,0.945918527,0.98083024,0.963127253,0.854553985,0.948006717,0.95831237,0.996718505,0.981586708,0.872800044,0.909905392,0.805128804,0.862511703,0.998966675,0.833769024
WA,RM_14,0.998860269,1,1,1,0.999173781,0.994104849,0.978604071,0.952970865,0.997002698,0.99869834,0.988065809,0.870074177,1,0.99931638,0.991982732,0.585714286,0.684818247,0.734627832,0.989893521,0.979452055,0.554009393,0.845015969,0.522701604,0.916952642,0.986994841,0,0.832943535,0.695451365,0.851435336,0.675727534,0.628493281,0.930161781,0.919974795,0.776030804,0.99716151,0.992650919,0.997248386,1,0.967821994,0.998518884
WA,RM_20,0.977685802,0.959357061,0.975076636,0.960900549,0.970872427,0.957402793,0.959278429,0.958317448,0.972634917,0.936572449,0.958828862,0.864475202,0.948189898,0.97274575,0.997038353,0.943187661,0.701947743,0.389813871,0.994427195,0.991565882,0.563775786,0.928907395,0.712989795,0.963729763,0.945918527,0.832943535,0,0.916272503,0.881114821,0.983781477,0.823190097,0.959737616,0.953919808,0.905832642,0.965660356,0.97338887,0.950330925,0.971057047,0.978080727,0.949184235
WA,RM_38,1,1,0.997615073,1,1,1,0.997930544,1,1,1,1,0.952016638,1,1,0.979948013,0.653254687,0.82924685,0.870103356,0.942791762,0.936182336,0.74302401,0.601113173,0.606797076,0.759213759,0.98083024,0.695451365,0.916272503,0,0.655986509,0.765926986,0.754766031,0.79755102,0.93111546,0.549180328,1,1,0.997878359,1,0.997465788,1
WA,RM_46,0.984554241,0.91511254,0.940620074,0.921838093,0.939649578,0.961465885,0.988193155,1,0.943386516,0.936098432,0.926102503,0.919547262,0.929950359,0.958078101,0.978317433,0.882110092,0.868832487,0.941911428,0.950036738,0.91374269,0.892593605,0.570378745,0.815575524,0.705097087,0.963127253,0.851435336,0.881114821,0.655986509,0,0.976158431,0.794277607,0.826466311,0.858856089,0.617145641,0.949913915,0.989130095,0.906244069,0.973582474,0.99733511,0.961057543
WA,RF_4,0.94766808,0.979644917,0.864364598,0.978846154,0.960736196,0.991175544,0.99378496,0.957547829,0.989588263,0.973636126,0.994299194,0.949933117,0.985822785,0.996480759,0.993913573,0.424889016,0.922232021,0.715577889,1,0.980456026,0.599436676,0.951275046,0.827600384,0.985483493,0.854553985,0.675727534,0.983781477,0.765926986,0.976158431,0,0.953298307,0.929150662,0.993738259,0.898203593,0.978251221,0.966510769,0.975671566,0.861358477,0.999605055,0.991763825
WJ,RF_15,0.988568066,0.885402109,0.950155763,0.990488269,0.920135221,0.949488055,0.980271417,0.989335919,0.947058824,0.964125561,0.951532276,0.837169824,0.946310233,0.969088354,0.990902199,0.861919814,0.739327015,0.799858307,0.995351926,0.975488572,0.731519679,0.730409357,0.545612648,0.866020006,0.948006717,0.628493281,0.823190097,0.754766031,0.794277607,0.953298307,0,0.824986537,0.951296151,0.652267819,0.967910448,0.998158379,0.957514451,0.944479495,0.991044124,0.949114295
WJ,RF_16,0.992139455,0.943908852,0.957459739,0.99034283,0.913517725,0.982625079,0.987500858,0.942828735,0.942792623,0.973916888,0.991188175,0.958283576,0.994953243,0.997583812,0.98548297,0.841872562,0.911730048,0.961819659,0.921985816,0.885111372,0.945318242,0.768740032,0.918730464,0.781112092,0.95831237,0.930161781,0.959737616,0.79755102,0.826466311,0.929150662,0.824986537,0,0.886267393,0.713914174,0.99319033,0.996761905,0.984434161,0.94360757,0.977682403,0.992930591
WJ,RF_32,0.998987668,0.994836489,1,1,0.976047904,0.987990475,0.963589254,0.922965116,0.990404134,0.983581767,0.969472063,0.994947102,1,1,0.994725738,0.974177215,0.918220339,0.985884251,0.92639327,0.96868476,0.991603937,1,0.970919325,0.983844911,0.996718505,0.919974795,0.953919808,0.93111546,0.858856089,0.993738259,0.951296151,0.886267393,0,0.91965916,0.996320455,0.991457048,1,0.968819599,0.944749824,0.995276093
WJ,RF_39,0.999722441,0.982791923,0.998171289,0.998547919,0.969495503,0.999371333,0.997800838,0.98155993,0.981523379,1,0.999146029,0.927495817,0.999108072,1,0.979786637,0.751238592,0.84,0.913968297,0.983253589,0.919335706,0.800971588,0.258842444,0.672210171,0.606411398,0.981586708,0.776030804,0.905832642,0.549180328,0.617145641,0.898203593,0.652267819,0.713914174,0.91965916,0,1,1,0.998735245,0.997673517,0.996561605,0.999614148
WJ,RM_57,0.878010249,0.747781876,0.699881843,0.794756731,0.791382562,0.817146974,0.941017631,1,0.645435685,0.692881356,0.74423517,0.796411441,0.676037241,0.816256399,1,0.98727206,0.985359783,0.998638601,1,0.998841475,1,1,1,1,0.872800044,0.99716151,0.965660356,1,0.949913915,0.978251221,0.967910448,0.99319033,0.996320455,1,0,0.890303132,0.729735683,0.853940709,0.993637328,0.807402192
WJ,RM_60,0.910157235,0.954735396,0.97250549,0.932715434,0.963775024,0.831721764,0.9262238,0.980103017,0.830601713,0.909444251,0.931112793,0.843106814,0.895227452,0.927290962,1,0.992780424,0.977397103,0.997585189,1,1,0.997932254,1,1,1,0.909905392,0.992650919,0.97338887,1,0.989130095,0.966510769,0.998158379,0.996761905,0.991457048,1,0.890303132,0,0.948596784,0.9853723,0.984353852,0.889655475
WJ,RM_76,0.863004873,0.575131859,0.658303833,0.630647795,0.771002945,0.819122257,0.946980357,1,0.865962441,0.670375162,0.668228862,0.744149172,0.720808609,0.822665347,1,0.980428308,0.970496771,0.99733007,1,0.998521803,1,0.998654709,0.994840462,1,0.805128804,0.997248386,0.950330925,0.997878359,0.906244069,0.975671566,0.957514451,0.984434161,1,0.998735245,0.729735683,0.948596784,0,0.722519413,0.995684582,0.750719386
WJ,RM_84,0.902152815,0.788319004,0.577100646,0.756125796,0.601995565,0.854648419,0.974618639,0.902843602,0.909677419,0.747708895,0.720935991,0.893986179,0.841604526,0.879168945,1,0.975440033,0.968003084,0.975969139,1,0.996832101,0.986231515,1,1,1,0.862511703,1,0.971057047,1,0.973582474,0.861358477,0.944479495,0.94360757,0.968819599,0.997673517,0.853940709,0.9853723,0.722519413,0,0.984061761,0.86663454
WJ,RM_89,0.993571983,0.989952454,1,0.989357262,0.983518542,0.950786877,0.836924461,0.855256207,0.999628115,0.988561108,0.91360795,0.992223518,1,0.987382114,1,0.997415742,0.906611626,0.992678342,1,1,0.98922009,0.997013142,0.997916884,0.996958175,0.998966675,0.967821994,0.978080727,0.997465788,0.99733511,0.999605055,0.991044124,0.977682403,0.944749824,0.996561605,0.993637328,0.984353852,0.995684582,0.984061761,0,0.997238358
WJ,RF_51,0.865540559,0.697824213,0.885568976,0.799493225,0.854756017,0.777645761,0.848458335,0.987468811,0.851081445,0.77211912,0.728905359,0.764648327,0.72769772,0.751847985,1,0.988911911,0.979868934,0.998193441,1,0.999596367,1,1,1,1,0.833769024,0.998518884,0.949184235,1,0.961057543,0.991763825,0.949114295,0.992930591,0.995276093,0.999614148,0.807402192,0.889655475,0.750719386,0.86663454,0.997238358,0
